ID,Año_del_hecho,Sexo_de_la_victima,Grupo_de_edad_de_la_victima,Mes_del_hecho,Dia_del_hecho,Departamento_del_hecho,Municipio_del_hecho,Lesion_fatal_de_causa_externa,Estado
659,2016,Hombre,(40 a 44),Enero,Sábado,Huila,Pitalito,Violenta - Homicidios,Datos definitivos
660,2016,Hombre,(25 a 29),Enero,Domingo,Huila,San Agustín,Violenta - Homicidios,Datos definitivos
661,2016,Hombre,(30 a 34),Enero,Lunes,Magdalena,Nueva Granada,Violenta - Homicidios,Datos definitivos
662,2016,Hombre,(60 a 64),Enero,Martes,Magdalena,Ariguaní,Violenta - Homicidios,Datos definitivos
663,2016,Hombre,(20 a 24),Enero,Sábado,Cauca,Popayán,Violenta - Homicidios,Datos definitivos
664,2016,Hombre,(30 a 34),Enero,Sábado,Cauca,Popayán,Violenta - Homicidios,Datos definitivos
665,2016,Hombre,(40 a 44),Enero,Sábado,Cauca,Popayán,Violenta - Homicidios,Datos definitivos
666,2016,Hombre,(55 a 59),Enero,Miércoles,Cauca,Rosas,Violenta - Homicidios,Datos definitivos
667,2016,Hombre,(30 a 34),Enero,Martes,Cauca,Timbío,Violenta - Homicidios,Datos definitivos
668,2016,Hombre,(45 a 49),Enero,Lunes,Cauca,Popayán,Violenta - Homicidios,Datos definitivos
669,2016,Hombre,(30 a 34),Enero,Jueves,Cauca,Popayán,Violenta - Homicidios,Datos definitivos
670,2016,Mujer,(60 a 64),Enero,Viernes,Cauca,Popayán,Violenta - Homicidios,Datos definitivos
671,2016,Hombre,(40 a 44),Enero,Sábado,Cauca,Popayán,Violenta - Homicidios,Datos definitivos
672,2016,Hombre,(50 a 54),Enero,Domingo,Cauca,Guapí,Violenta - Homicidios,Datos definitivos
673,2016,Mujer,(40 a 44),Enero,Viernes,Putumayo,Puerto Leguízamo,Violenta - Homicidios,Datos definitivos
674,2016,Hombre,(20 a 24),Enero,Lunes,Antioquia,Amalfi,Violenta - Homicidios,Datos definitivos
675,2016,Hombre,(50 a 54),Enero,Domingo,Antioquia,Cisneros,Violenta - Homicidios,Datos definitivos
676,2016,Hombre,(30 a 34),Enero,Lunes,Meta,Puerto Gaitán,Violenta - Homicidios,Datos definitivos
677,2016,Hombre,(15 a 17),Enero,Viernes,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
678,2016,Hombre,(30 a 34),Enero,Viernes,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
679,2016,Hombre,(25 a 29),Enero,Sábado,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
680,2016,Hombre,(20 a 24),Enero,Jueves,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
681,2016,Hombre,(25 a 29),Enero,Viernes,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
682,2016,Hombre,(30 a 34),Enero,Viernes,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
683,2016,Hombre,(35 a 39),Enero,Sábado,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
684,2016,Hombre,(20 a 24),Enero,Domingo,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
685,2016,Hombre,(20 a 24),Enero,Domingo,Chocó,Bojayá,Violenta - Homicidios,Datos definitivos
686,2016,Hombre,(15 a 17),Enero,Domingo,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
687,2016,Hombre,(18 a 19),Enero,Lunes,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
688,2016,Mujer,(25 a 29),Enero,Sábado,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
689,2016,Hombre,(35 a 39),Enero,Domingo,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
690,2016,Hombre,(35 a 39),Enero,Jueves,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
691,2016,Mujer,(20 a 24),Enero,Domingo,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
692,2016,Hombre,(20 a 24),Enero,Sábado,Chocó,Quibdó,Violenta - Homicidios,Datos definitivos
693,2016,Hombre,(40 a 44),Enero,Viernes,La Guajira,Riohacha,Violenta - Homicidios,Datos definitivos
694,2016,Hombre,(25 a 29),Enero,Viernes,La Guajira,Riohacha,Violenta - Homicidios,Datos definitivos
695,2016,Hombre,(10 a 14),Enero,Lunes,La Guajira,Riohacha,Violenta - Homicidios,Datos definitivos
696,2016,Hombre,(70 a 74),Enero,Martes,La Guajira,Riohacha,Violenta - Homicidios,Datos definitivos
697,2016,Hombre,(45 a 49),Enero,Sábado,La Guajira,Riohacha,Violenta - Homicidios,Datos definitivos
698,2016,Hombre,(60 a 64),Enero,Domingo,Antioquia,Rionegro,Violenta - Homicidios,Datos definitivos
699,2016,Hombre,(25 a 29),Enero,Miércoles,Antioquia,Rionegro,Violenta - Homicidios,Datos definitivos
700,2016,Hombre,(35 a 39),Enero,Lunes,Antioquia,Rionegro,Violenta - Homicidios,Datos definitivos
701,2016,Hombre,(25 a 29),Enero,Domingo,Antioquia,Marinilla,Violenta - Homicidios,Datos definitivos
702,2016,Hombre,(35 a 39),Enero,Viernes,Antioquia,Caldas,Violenta - Homicidios,Datos definitivos
703,2016,Hombre,(30 a 34),Enero,Domingo,Caldas,Supía,Violenta - Homicidios,Datos definitivos
704,2016,Hombre,(45 a 49),Enero,Domingo,Caldas,Riosucio,Violenta - Homicidios,Datos definitivos
705,2016,Hombre,(18 a 19),Enero,Viernes,Risaralda,Quinchía,Violenta - Homicidios,Datos definitivos
706,2016,Hombre,(50 a 54),Enero,Martes,Valle del Cauca,Zarzal,Violenta - Homicidios,Datos definitivos
707,2016,Hombre,(25 a 29),Enero,Martes,Valle del Cauca,La Unión,Violenta - Homicidios,Datos definitivos
708,2016,Hombre,(18 a 19),Enero,Domingo,Valle del Cauca,Roldanillo,Violenta - Homicidios,Datos definitivos
709,2016,Hombre,(18 a 19),Enero,Sábado,Valle del Cauca,Toro,Violenta - Homicidios,Datos definitivos
710,2016,Hombre,(25 a 29),Enero,Domingo,Valle del Cauca,La Victoria,Violenta - Homicidios,Datos definitivos


